date_PT,clicks,impressions,ctr_percent,position
2026-08-13,0,59,0,59.45762711864407
2026-08-14,0,60,0,65.85
2026-08-15,0,36,0,60.666666666666664
2026-08-16,0,52,0,64.01923076923077
2026-08-17,0,148,0,66.22297297297297
2026-08-18,0,49,0,71.9795918367347
2026-08-19,0,110,0,70.00909090909092
2026-08-20,0,38,0,68.8157894736842
2026-08-21,1,46,2.1739130434782608,63.69565217391305
2026-08-22,0,44,0,70.0909090909091
2026-08-23,0,58,0,67.62068965517241
2026-08-24,0,119,0,78.21008403361344
2026-08-25,0,80,0,80.5125
2026-08-26,0,110,0,72.10909090909091
2026-08-27,0,140,0,72.8
2026-08-28,0,112,0,40.69642857142857
2026-08-29,0,42,0,54.666666666666664
2026-08-30,0,44,0,67.02272727272727
2026-08-31,0,142,0,65.35211267605634
2026-09-01,0,90,0,37.766666666666666
2026-09-02,0,77,0,67.79220779220779
2026-09-03,0,55,0,75.38181818181818
2026-09-04,0,47,0,72.27659574468085
2026-09-05,0,20,0,70.15
2026-09-06,0,62,0,57.75806451612903
2026-09-07,0,70,0,60.51428571428571
2026-09-08,0,84,0,73.53571428571429
2026-09-09,0,90,0,62.72222222222222
